"Id";"UserId";"ExternalId";"InvoiceUri";"LevelName";"SessionId";"IsPaymentSuccess";"CompletionDate";"CreateDate"
"9c8cd26f-5458-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"s1SNXTIqRXZDOCNV";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PkyG1DhgP60CL9x4E1jdjGx&id=s1SNXTIqRXZDOCNV";"gold";"sub_1PkyG1DhgP60CL9x4E1jdjGx";"0";"";"2024-08-07 01:01:43"
"9c950d16-2294-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"9nxM9PdVYoN4lQ6E";"NONE";"guest";"NONE";"1";"2024-06-04 17:05:14";"2024-06-04 17:05:14"
"9d14721f-543e-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"ggDcrXOfk5Zg1EQa";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PkvLvDhgP60CL9x9lxWaEH1&id=ggDcrXOfk5Zg1EQa";"gold";"sub_1PkvLvDhgP60CL9x9lxWaEH1";"0";"";"2024-08-06 21:55:37"
"9dede993-0bc1-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"74MDjN81tbsgWwDa";"NONE";"guest";"NONE";"1";"2024-05-06 15:59:27";"2024-05-06 15:59:27"
"9f73ea17-6bf4-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"VEeEoPOhY8zakUv3";"NONE";"guest";"NONE";"1";"2024-09-06 02:06:26";"2024-09-06 02:06:26"
"a1317377-e0ae-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"";"https://checkout.stripe.com/c/pay/cs_test_a13ediJvJ8pGc81Z4rBNobVaXvg1NtuLuK7kq9aULxD7dE126gMVtQR8ev#fidkdWxOYHwnPyd1blpxYHZxWjA0SUZfcGZBbWJVMzVGSTx9R0tEcUBIR2FCSmFfQkhNM0p0an18VmlCMUZ1bz1kSFFLXFN%2FcTNVMFc3QnFBQF9sR1Nra1B2SUlRYkBQZGE8d1ZicWM3NHdwNTVRTU53Z";"silver";"cs_test_a13ediJvJ8pGc81Z4rBNobVaXvg1NtuLuK7kq9aULxD7dE126gMVtQR8ev";"0";"";"2024-03-12 20:25:12"
"a1a79ba7-e46e-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"EbqOj68Je6zd5zVk";"https://localhost:44345/subscription-checkout?sessionid=sub_1OvL97DhgP60CL9xqTNxtFPC&id=EbqOj68Je6zd5zVk";"platinum";"sub_1OvL97DhgP60CL9xqTNxtFPC";"1";"2024-03-17 15:00:38";"2024-03-17 14:57:10"
"a2c02e7e-0bd0-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"XjFSDO8cyBPhDWfX";"NONE";"guest";"NONE";"1";"2024-05-06 17:46:58";"2024-05-06 17:46:58"
"a2ef6130-1d61-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"BhB5EUGz3GL59o6S";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLc5DDhgP60CL9xPFfS9E0J&id=BhB5EUGz3GL59o6S";"platinum";"sub_1PLc5DDhgP60CL9xPFfS9E0J";"0";"";"2024-05-29 02:17:45"
"a30bd59f-220f-11ef-99ce-0af7a01f52e9";"bcb2aebb-60ab-4eb2-aba9-11618ea8b3ea";"Lplky8viBg5moKLz";"https://localhost:44345/subscription-checkout?sessionid=sub_1PNlwDDhgP60CL9xqUX3nAdG&id=Lplky8viBg5moKLz";"silver";"sub_1PNlwDDhgP60CL9xqUX3nAdG";"0";"";"2024-06-04 01:13:22"
"a5765d27-1df4-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"J84OavLHpWdTO6gw";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLsVbDhgP60CL9xJA1UzvAm&id=J84OavLHpWdTO6gw";"gold";"sub_1PLsVbDhgP60CL9xJA1UzvAm";"0";"";"2024-05-29 19:50:05"
"a67a7c8a-0c09-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"YDq6dOgeoxmqWmfS";"NONE";"guest";"NONE";"1";"2024-05-07 00:35:05";"2024-05-07 00:35:05"
"a6e12ef7-12c9-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"q0OJz2MuoOji1wB0";"NONE";"guest";"NONE";"1";"2024-05-15 14:44:36";"2024-05-15 14:44:36"
